FID,temp,pressure,cloudiness,humidity_relative,hourly_kwh,distanceToWareMiddag,hasSunLight
2023-03-11 15:00,7.3,1011.9,2.4,48.4,0.54,2.1166666666666667,True
2023-03-11 15:00,6.3,1012.0,6.0,84.2,0.54,2.1166666666666667,True
2023-03-11 15:00,6.4,1012.0,3.6,64.1,0.54,2.1166666666666667,True
2023-03-11 15:00,7.4,1012.2,3.4,52.0,0.54,2.1166666666666667,True
2023-03-11 16:00,6.8,1011.9,3.6,54.4,0.4800000000000002,3.1166666666666667,True
2023-03-11 16:00,7.0,1011.5,3.4,53.0,0.4800000000000002,3.1166666666666667,True
2023-03-11 16:00,5.6,1011.6,4.6,66.0,0.4800000000000002,3.1166666666666667,True
2023-03-11 16:00,5.8,1011.5,7.0,84.2,0.4800000000000002,3.1166666666666667,True
2023-03-11 17:00,5.5,1011.4,7.0,84.2,0.1500000000000001,4.116666666666666,True
2023-03-11 17:00,6.7,1011.3,3.6,55.0,0.1500000000000001,4.116666666666666,True
2023-03-11 17:00,5.5,1011.6,4.6,65.4,0.1500000000000001,4.116666666666666,True
2023-03-11 17:00,6.1,1011.7,6.2,60.7,0.1500000000000001,4.116666666666666,True
2023-03-11 18:00,5.0,1012.1,5.8,63.9,0.01,5.116666666666666,True
2023-03-11 18:00,6.1,1011.8,4.0,63.9,0.01,5.116666666666666,True
2023-03-11 18:00,4.5,1011.6,7.0,84.2,0.01,5.116666666666666,True
2023-03-11 18:00,5.4,1011.9,4.6,65.7,0.01,5.116666666666666,True
2023-03-11 19:00,5.2,1011.6,7.2,67.8,0.0,6.116666666666666,False
2023-03-11 19:00,4.6,1011.3,7.0,84.2,0.0,6.116666666666666,False
2023-03-11 19:00,5.9,1011.5,3.6,64.9,0.0,6.116666666666666,False
2023-03-11 19:00,3.7,1012.2,4.2,73.2,0.0,6.116666666666666,False
2023-03-11 20:00,4.6,1012.2,7.4,66.7,0.0,7.116666666666666,False
2023-03-11 20:00,5.3,1011.7,7.0,68.7,0.0,7.116666666666666,False
2023-03-11 20:00,5.6,1011.5,6.2,69.8,0.0,7.116666666666666,False
2023-03-11 20:00,4.1,1011.4,7.0,84.2,0.0,7.116666666666666,False
2023-03-11 21:00,4.8,1011.3,6.0,70.6,0.0,8.116666666666667,False
2023-03-11 21:00,5.3,1011.6,5.0,71.6,0.0,8.116666666666667,False
2023-03-11 21:00,4.2,1011.2,7.0,84.2,0.0,8.116666666666667,False
2023-03-11 21:00,4.5,1012.0,7.4,66.6,0.0,8.116666666666667,False
2023-03-11 22:00,4.7,1011.8,6.6,64.9,0.0,9.116666666666667,False
2023-03-11 22:00,5.1,1011.4,2.0,74.6,0.0,9.116666666666667,False
2023-03-11 22:00,5.6,1011.2,5.0,70.9,0.0,9.116666666666667,False
2023-03-11 22:00,3.9,1010.9,8.0,84.2,0.0,9.116666666666667,False
2023-03-11 23:00,5.3,1010.3,6.8,66.6,0.0,10.116666666666667,False
2023-03-11 23:00,5.0,1010.9,3.2,75.9,0.0,10.116666666666667,False
2023-03-11 23:00,3.8,1010.3,8.0,84.2,0.0,10.116666666666667,False
2023-03-11 23:00,4.7,1011.5,7.2,68.7,0.0,10.116666666666667,False
2023-03-12 00:00,4.6,1011.0,5.4,70.6,0.0,12.866666666666667,False
2023-03-12 00:00,3.8,1009.9,7.0,84.2,0.0,12.866666666666667,False
2023-03-12 00:00,5.5,1009.9,7.0,67.7,0.0,12.866666666666667,False
2023-03-12 00:00,4.2,1010.2,3.4,87.2,0.0,12.866666666666667,False
2023-03-12 01:00,3.7,1009.0,8.0,84.2,0.0,11.866666666666667,False
2023-03-12 01:00,5.1,1009.1,5.8,70.1,0.0,11.866666666666667,False
2023-03-12 01:00,4.2,1009.5,4.6,89.3,0.0,11.866666666666667,False
2023-03-12 01:00,4.2,1010.4,7.6,81.8,0.0,11.866666666666667,False
2023-03-12 02:00,4.2,1009.7,6.2,82.8,0.0,10.866666666666667,False
2023-03-12 02:00,3.7,1008.6,7.0,84.2,0.0,10.866666666666667,False
2023-03-12 02:00,4.6,1008.4,6.2,73.1,0.0,10.866666666666667,False
2023-03-12 02:00,4.1,1009.2,6.8,91.5,0.0,10.866666666666667,False
2023-03-12 03:00,4.6,1007.8,6.4,82.2,0.0,9.866666666666667,False
2023-03-12 03:00,3.8,1007.8,7.0,84.2,0.0,9.866666666666667,False
