FID,temp,pressure,cloudiness,humidity_relative
2023-03-01 09:00:00+00:00,4.9,1029.7,0.0,54.3
2023-03-01 09:00:00+00:00,2.1,1029.3,3.0,73.7
2023-03-01 09:00:00+00:00,3.3,1029.6,1.0,84.2
2023-03-01 09:00:00+00:00,1.6,1029.4,3.0,70.9
2023-03-01 10:00:00+00:00,3.0,1028.8,3.0,60.8
2023-03-01 10:00:00+00:00,5.3,1029.6,0.0,55.6
2023-03-01 10:00:00+00:00,3.5,1028.9,3.0,66.3
2023-03-01 10:00:00+00:00,4.2,1029.3,1.0,84.2
2023-03-01 11:00:00+00:00,4.4,1028.2,0.0,59.9
2023-03-01 11:00:00+00:00,5.7,1029.1,0.0,52.1
2023-03-01 11:00:00+00:00,4.9,1028.7,1.0,84.2
2023-03-01 11:00:00+00:00,4.2,1028.3,0.0,53.0
2023-03-01 12:00:00+00:00,5.6,1027.7,0.0,50.6
2023-03-01 12:00:00+00:00,5.1,1027.9,0.0,57.8
2023-03-01 12:00:00+00:00,5.9,1028.5,0.0,51.1
2023-03-01 12:00:00+00:00,4.9,1028.3,1.0,84.2
2023-03-01 13:00:00+00:00,5.4,1027.3,1.0,84.2
2023-03-01 13:00:00+00:00,5.7,1026.8,0.0,56.4
2023-03-01 13:00:00+00:00,6.2,1027.5,0.0,50.5
2023-03-01 13:00:00+00:00,6.3,1026.9,0.6,48.6
2023-03-01 14:00:00+00:00,6.5,1026.1,1.2,45.7
2023-03-01 14:00:00+00:00,5.3,1026.6,1.0,84.2
2023-03-01 14:00:00+00:00,6.0,1026.1,0.0,55.4
2023-03-01 14:00:00+00:00,6.0,1026.6,0.0,59.1
2023-03-01 15:00:00+00:00,5.7,1026.0,0.0,64.6
2023-03-01 15:00:00+00:00,5.2,1025.9,1.0,84.2
2023-03-01 15:00:00+00:00,6.1,1025.3,0.0,54.6
2023-03-01 15:00:00+00:00,6.9,1025.3,1.2,46.9
2023-03-01 16:00:00+00:00,6.7,1024.7,1.2,45.8
2023-03-01 16:00:00+00:00,4.6,1025.4,1.0,84.2
2023-03-01 16:00:00+00:00,5.7,1025.4,0.0,68.0
2023-03-01 16:00:00+00:00,5.8,1024.8,0.0,58.6
2023-03-01 17:00:00+00:00,4.3,1025.0,1.0,84.2
2023-03-01 17:00:00+00:00,5.1,1024.4,0.0,57.9
2023-03-01 17:00:00+00:00,5.9,1025.0,0.0,70.4
2023-03-01 17:00:00+00:00,5.9,1024.5,1.2,48.3
2023-03-01 18:00:00+00:00,4.6,1024.7,0.0,54.9
2023-03-01 18:00:00+00:00,4.0,1024.9,1.0,84.2
2023-03-01 18:00:00+00:00,4.2,1024.5,0.0,60.8
2023-03-01 18:00:00+00:00,6.0,1025.2,0.0,60.7
2023-03-01 19:00:00+00:00,3.8,1024.8,0.0,62.1
2023-03-01 19:00:00+00:00,2.8,1025.2,1.0,84.2
2023-03-01 19:00:00+00:00,5.9,1025.2,0.0,60.1
2023-03-01 19:00:00+00:00,3.5,1024.9,0.0,59.2
2023-03-01 20:00:00+00:00,2.7,1024.7,0.0,62.2
2023-03-01 20:00:00+00:00,5.8,1025.4,0.0,58.5
2023-03-01 20:00:00+00:00,2.1,1024.7,3.2,69.8
2023-03-01 20:00:00+00:00,1.4,1025.2,1.0,84.2
2023-03-01 21:00:00+00:00,2.1,1024.6,6.0,67.5
